0,1,2
0,-70,0.0
1,-70,0.0
2,-70,0.0
3,-70,0.0
4,-70,0.0
5,-70,0.0
6,-70,0.0
7,-70,0.0
8,-70,0.0
9,-70,0.0
10,-70,0.0018779611679346
11,-70,0.0
12,-70,0.0
13,-70,0.0
14,-70,0.0
15,-70,0.0
16,-70,0.0
17,-70,0.0
18,-70,0.0
19,-70,0.0
20,-70,0.0
21,-70,0.0
22,-70,0.0
23,-70,0.0
24,-70,0.0
25,-70,0.0
26,-70,0.0
27,-70,0.0
28,-70,0.0001803369252385
29,-70,0.0
30,-70,0.0001803369252385
31,-70,0.0
32,-70,0.0
33,-70,0.0
34,-70,0.0
35,-70,0.0
36,-70,0.0
37,-70,0.0
38,-70,0.0
39,-70,0.0
40,-70,0.0
41,-70,0.0
42,-70,0.0
43,-70,0.0
44,-70,0.0
45,-70,0.0
46,-70,0.0
47,-70,0.0
48,-70,0.0
49,-70,0.0
50,-70,0.0
51,-70,0.0
52,-70,0.0
53,-70,0.0
54,-70,0.0
55,-70,0.0
56,-70,0.0
57,-70,0.0
58,-70,0.0
59,-70,0.0
60,-70,0.0
61,-70,0.0
62,-70,0.0
63,-70,0.0
64,-70,0.0
65,-70,0.0
66,-70,0.0
67,-70,0.0
68,-70,0.0
69,-70,0.0
70,-70,0.0
71,-70,0.0
72,-70,0.0
73,-70,0.0
74,-70,0.0
75,-70,0.0
76,-70,0.0
77,-70,0.0
78,-70,0.0018779611679346
79,-70,0.0
80,-70,0.0
81,-70,0.0
82,-70,0.0
83,-70,0.0
84,-70,0.0
85,-70,0.0
86,-70,0.0
87,-70,0.0
88,-70,0.0035760241866045
89,-70,0.0
90,-70,0.0
91,-70,0.0
92,-70,0.0
93,-70,0.0
94,-70,0.0
95,-70,0.0
96,-70,0.0
97,-70,0.0
98,-70,0.0
99,-70,0.0
0,-60,0.0
1,-60,0.0
2,-60,0.0
3,-60,0.0
4,-60,0.0
5,-60,0.0
6,-60,0.0
7,-60,0.0
8,-60,0.0009290127384751
9,-60,0.0
10,-60,0.0
11,-60,0.0
12,-60,0.0
13,-60,0.0
14,-60,0.0
15,-60,0.0
16,-60,0.0018574253395224
17,-60,0.0
18,-60,0.0
19,-60,0.0
20,-60,0.0
21,-60,0.0
22,-60,0.0
23,-60,0.0
24,-60,0.0
25,-60,0.0
26,-60,0.0009290127384751
27,-60,0.0
28,-60,0.0018574253395224
29,-60,0.0
30,-60,0.0
31,-60,0.0
32,-60,0.0009290127384751
33,-60,0.0
34,-60,0.0
35,-60,0.0
36,-60,0.0
37,-60,0.0
38,-60,0.0
39,-60,0.0
40,-60,0.0
41,-60,0.0009290127384751
42,-60,0.0
43,-60,0.0
44,-60,0.0018574253395224
45,-60,0.0
46,-60,0.0
47,-60,0.0
48,-60,0.0
49,-60,0.0
50,-60,0.0
