0,1,2
0,-70,0.0
1,-70,2.4347438753798047e-06
2,-70,2.78166566077946e-05
3,-70,0.000101593134867
4,-70,0.0002340141878016
5,-70,0.0003963523103887358
6,-70,0.0006485405111885
7,-70,0.0009021953860493
8,-70,0.0011898398939338718
9,-70,0.0014303647090304
10,-70,0.001656556425705873
11,-70,0.0016100091394168998
12,-70,0.0021384938350316
13,-70,0.0023346936194283
14,-70,0.002544947199638171
15,-70,0.0026632145284886
16,-70,0.0027975862160173
17,-70,0.0029141220535849
18,-70,0.0030037877284908015
19,-70,0.003062209056296069
20,-70,0.00315121319404019
21,-70,0.0032847571757308553
22,-70,0.003290814259295
23,-70,0.0030231754211841847
24,-70,0.0033744213347883
25,-70,0.0033940392947711096
26,-70,0.0034341501650228
27,-70,0.0030158438086601114
28,-70,0.003474890318188612
29,-70,0.0034929599189705
30,-70,0.003629626884389255
31,-70,0.00384146641944072
32,-70,0.0035279819040644
33,-70,0.0035361428765897
34,-70,0.0035429967333365
35,-70,0.0035487513466923
36,-70,0.0035535819732407
37,-70,0.0035620886310658052
38,-70,0.0035610384009087
39,-70,0.0038322272988569944
40,-70,0.0035095277714056374
41,-70,0.0035651420729323
42,-70,0.0035699821171283
43,-70,0.0035713956294601
44,-70,0.0035860375663147002
45,-70,0.0035735754856596
46,-70,0.0035744093689405
47,-70,0.0035751086900014
48,-70,0.0035756951476623
49,-70,0.0035761869462283
50,-70,0.0035765993569234
51,-70,0.003557734000299845
52,-70,0.0035772351884308
53,-70,0.003580291657338022
54,-70,0.0035776822777695
55,-70,0.0035778532645379
56,-70,0.0035779966411444
57,-70,0.0036032034236004326
58,-70,0.0035782176752439
59,-70,0.0035783022057055
60,-70,0.003539569174595201
61,-70,0.0035784325186066
62,-70,0.0035784823537448
63,-70,0.003667422664598359
64,-70,0.003578559179321
65,-70,0.0032798185387156076
66,-70,0.0035786131943665
67,-70,0.003578633850936
68,-70,0.0035786511714753
69,-70,0.003578665694743
70,-70,0.0035786778724926
71,-70,0.0036323970425660335
72,-70,0.0035786966454565
73,-70,0.003345794969039642
74,-70,0.0035787098443421
